id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
253331;2014;Black or White;21571189;215711890;;9000000;121;9;Drama;;;en;11119;Treehouse Pictures;68;335;Kevin Costner, Octavia Spencer, Gillian Jacobs;Mike Binder;660;450
253412;2015;Everest;203427584;434822700;;55000000;121;9;Adventure;Drama;History;en;25168;Cross Creek Pictures;6816;4718;Jason Clarke, Ang Phula Sherpa, Thomas M. Wright;Baltasar Kormákur;710;640
253450;2015;The Assassin;632542;6325420;;15000000;105;8;Action;Drama;History;zh;2044;Sil-Metropole Organisation;64;482;Shu Qi, Chang Chen, Yun Zhou;Hsiao-Hsien Hou;630;820
254128;2015;San Andreas;473990832;1551908320;;110000000;114;5;Action;Drama;Thriller;en;76533;New Line Cinema;62;8273;Dwayne Johnson, Carla Gugino, Alexandra Daddario;Brad Peyton;610;430
254470;2015;Pitch Perfect 2;287144079;1842962300;;29000000;115;5;Comedy;Music;;en;50667;Brownstone Productions;69;5187;Anna Kendrick, Rebel Wilson, Hailee Steinfeld;Elizabeth Banks;640;630
254473;2014;Brick Mansions;71416730;203968290;;28000000;90;4;Action;Crime;Drama;en;28081;EuropaCorp;59;1466;Paul Walker, David Belle, RZA;Camille Delamarre;560;400
254904;2014;The November Man;32600000;250181190;;15000000;108;8;Crime;Action;Thriller;en;3216;SPD Films;61;1418;Pierce Brosnan, Luke Bracey, Olga Kurylenko;Roger Donaldson;630;380
255343;2014;Escobar: Paradise Lost;3758328;1957920;;17000000;120;10;Thriller;Romance;;en;30562;uFilm;63;756;Benicio Del Toro, Josh Hutcherson, Claudia Traisac;Andrea Di Stefano;650;560
256274;2014;As Above, So Below;41900000;213211000;;5000000;93;8;Horror;Thriller;;en;49675;Brothers Dowdle Productions;67;3265;Perdita Weeks, Ben Feldman, Edwin Hodge;John Erick Dowdle;620;390
256917;2014;The Water Diviner;15520023;41966410;;22500000;112;12;War;Drama;;en;23325;Fear of God Films;68;1183;Russell Crowe, Olga Kurylenko, Jai Courtney;Russell Crowe;700;500
256924;2015;Danny Collins;10835752;56370660;;10000000;107;3;Music;Comedy;Drama;en;11142;ShivHans Pictures;68;494;Al Pacino, Annette Bening, Jennifer Garner;Dan Fogelman;700;580
256961;2015;Paul Blart: Mall Cop 2;107597242;710381900;;38000000;94;4;Action;Comedy;Family;en;36743;Columbia Pictures;51;1485;Kevin James, Raini Rodriguez, Eduardo Verástegui;Andy Fickman;440;130
256962;2015;Little Boy;6500000;64859610;;20000000;106;4;Comedy;Drama;War;en;12246;Santa Fe Films;72;504;Jakob Salvati, Emily Watson, David Henrie;Alejandro Monteverde;730;300
257088;2015;Point Break;133700000;287824810;;105000000;113;12;Action;Adventure;Crime;en;36791;Studio Babelsberg;59;2182;Edgar Ramírez, Luke Bracey, Ray Winstone;Ericson Core;530;340
