Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
The Lighthouse;Robert Eggers;Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes;Drama;74;830;109;2010460;2019
Frankenstein;James Whale;Boris Karloff, Colin Clive, Mae Clarke, John Boles;Drama;78;910;70;711020;1931
The Babadook;Jennifer Kent;Essie Davis, Daniel Henshall, Noah Wiseman, Hayley McElhinney;Horror;68;860;94;2170500;2014
Jaws;Steven Spielberg;Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary;Thriller;81;870;124;5830780;1975
Bride of Frankenstein;James Whale;Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson;;;;;;1935
A Quiet Place;John Krasinski;Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe;Drama;75;820;90;5067300;2018
The Night of the Hunter;Charles Laughton;Robert Mitchum, Shelley Winters, Lillian Gish, Evelyn Varden;Drama;80;990;92;881220;1955
Alien;Ridley Scott;Tom Skerritt, Sigourney Weaver, John Hurt, Veronica Cartwright;Horror;85;890;117;8537430;1979
Us;Jordan Peele;Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker;Horror;68;810;116;2751040;2019
The Cabinet of Dr. Caligari;Robert Wiene;Werner Krauss, Conrad Veidt, Lil Dagover, Friedrich Feher;Horror;80;;67;626020;1919
Get Out;Jordan Peele;Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford;Horror;77;850;104;5610660;2017
Psycho;Alfred Hitchcock;Anthony Perkins, Janet Leigh, Vera Miles, John Gavin;Horror;85;970;109;6531800;1960
The Bling Ring;Sofia Coppola;Israel Broussard, Katie Chang, Taissa Farmiga, Claire Julien;Drama;56;660;90;873820;2013
The Newton Boys;Richard Linklater;Matthew McConaughey, Skeet Ulrich, Ethan Hawke, Vincent D'Onofrio;;;;;;1998
Bandits;Barry Levinson;Bruce Willis, Billy Bob Thornton, Cate Blanchett, Troy Garity;Comedy;65;600;123;679880;2001
Danger: Diabolik;Mario Bava;John Phillip Law, Marisa Mell, Michel Piccoli, Adolfo Celi;Comedy;65;;105;65600;1968
2 Guns;Baltasar Kormákur;Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton;Comedy;67;550;109;2092570;2013
Mission: Impossible;Brian De Palma;Tom Cruise, Jon Voight, Henry Czerny, Ving Rhames;Drama;79;;50;95330;1996
Small Time Crooks;Woody Allen;Woody Allen, Tracey Ullman, Hugh Grant, Jon Lovitz;;;;;;2000
The Burnt Orange Heresy;Giuseppe Capotondi;Claes Bang, Elizabeth Debicki, Mick Jagger, Donald Sutherland;Thriller;61;570;99;48050;2019
Heist;David Mamet;Gene Hackman, Danny DeVito, Delroy Lindo, Sam Rockwell;Drama;65;660;109;364250;2001
Wrath of Man;Guy Ritchie;Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett;Thriller;71;570;119;1613100;2021
Army Of The Dead;Zack Snyder;Dave Bautista, Ella Purnell, Omari Hardwick, Ana de la Reguera;;;;;;2021
The Fate of the Furious;F. Gary Gray;Vin Diesel, Dwayne Johnson, Charlize Theron, Jason Statham;Thriller;66;560;136;2269080;2017
Tower Heist;Brett Ratner;Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda;Comedy;62;590;104;1417040;2011
