Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Kung Fu Panda 3;Jennifer Yuh Nelson;Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie;Comedy;71;660;95;1529470;2016
Puss in Boots;Chris Miller;Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton;Comedy;66;650;90;1562060;2011
Cloudy With a Chance of Meatballs;Christopher Miller;Bill Hader, Anna Faris, James Caan, Andy Samberg;;;;;;2009
The LEGO Movie 2: The Second Part;Mike Mitchell;Chris Pratt, Elizabeth Banks, Will Arnett, Tiffany Haddish;;;;;;2019
The Book of Life;Jorge R. Gutierrez;Diego Luna, Zoë Saldana, Channing Tatum, Ice Cube;Comedy;72;670;95;702180;2014
Sausage Party;Conrad Vernon;Seth Rogen, Kristen Wiig, Jonah Hill, Bill Hader;Comedy;61;660;89;1907390;2016
Abominable;Jill Culton;Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo;Comedy;70;610;97;374760;2019
Despicable Me;Chris Renaud;Steve Carell, Jason Segel, Russell Brand, Julie Andrews;Comedy;76;720;95;5330560;2010
Mr. Peabody & Sherman;Rob Minkoff;Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert;Comedy;68;590;92;689770;2014
Monsters University;Dan Scanlon;Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren;Comedy;73;650;104;3504370;2013
Kung Fu Panda 2;Jennifer Yuh Nelson;Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman;Comedy;72;670;90;2769740;2011
Dr. Seuss' Horton Hears a Who!;Jimmy Hayward;Jim Carrey, Steve Carell, Amy Poehler, Jesse McCartney;;;;;;2008
Surf's Up;Ash Brannon;Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder;Comedy;67;640;85;778690;2007
Brave;Mark Andrews;Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters;Comedy;71;690;93;4020190;2012
Madagascar 3: Europe's Most Wanted;Eric Darnell;Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith;Comedy;68;600;93;1776070;2012
Ice Age;Chris Wedge;Ray Romano, John Alberto Leguizamo, Denis Leary, Goran Visnjic;Comedy;75;610;81;4730850;2002
The Croods: A New Age;Joel Crawford;Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener;Comedy;69;560;95;404810;2020
The Good Dinosaur;Peter Sohn;Jeffrey Wright, Frances McDormand, Maleah Padilla, Ryan Teeple;Comedy;67;660;93;1131790;2015
Happy Feet;George Miller;Elijah Wood, Robin Williams, Brittany Murphy, Hugh Jackman;Adventure;64;770;108;1826750;2006
Smallfoot;Karey Kirkpatrick;Channing Tatum, James Corden, Zendaya, Common;Comedy;66;600;96;388170;2018
Despicable Me 2;Chris Renaud;Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove;Comedy;73;620;98;3915990;2013
Over the Hedge;Tim Johnson;Bruce Willis, Garry Shandling, Steve Carell, William Shatner;Comedy;67;670;83;1722230;2006
Trolls;Mike Mitchell;Anna Kendrick, Justin Timberlake, Christopher Mintz-Plasse, Russell Brand;Comedy;64;550;92;801940;2016
Monster House;Gil Kenan;Steve Buscemi, Maggie Gyllenhaal, Mitchel Musso, Spencer Locke;Comedy;66;680;91;1150190;2006
Rise of the Guardians;Peter Ramsey;Chris Pine, Alec Baldwin, Jude Law, Isla Fisher;Comedy;72;580;97;1714580;2012
The Adventures of Tintin;Steven Spielberg;Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost;Adventure;73;680;107;2285410;2011
Monsters vs. Aliens;Rob Letterman;Reese Witherspoon, Hugh Laurie, Seth Rogen, Will Arnett;Comedy;64;560;94;1593100;2009
Cars;John Lasseter;Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy;Comedy;72;730;117;4060850;2006
Penguins of Madagascar;Eric Darnell;Benedict Cumberbatch, John Malkovich, Tom McGrath, Chris Miller;Comedy;66;530;92;887830;2014
Flushed Away;David Bowers;Hugh Jackman, Kate Winslet, Jean Reno, Bill Nighy;Comedy;66;740;85;1236490;2006
The Angry Birds Movie 2;Thurop Van Orman;Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader;Comedy;64;600;97;281730;2019
The Secret Life of Pets;Chris Renaud;Louis C.K., Eric Stonestreet, Kevin Hart, Ellie Kemper;Comedy;65;610;87;1982320;2016
Megamind;Tom McGrath;Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill;Comedy;73;630;95;2529940;2010
Rio;Carlos Saldanha;Anne Hathaway, Jesse Eisenberg, Jemaine Clement, Leslie Mann;Comedy;69;630;96;2231000;2011
The Croods;Chris Sanders;Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener;Comedy;72;550;98;2106080;2013
Sing;Garth Jennings;Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson;Comedy;71;590;108;1623800;2016
Trolls World Tour;Walt Dohrn;Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden;;;;;;2020
Cloudy With a Chance of Meatballs 2;Cody Cameron;Bill Hader, Anna Faris, James Caan, Will Forte;;;;;;2013
Cars 3;Brian Fee;Owen Wilson, Cristela Alonzo, Armie Hammer, Chris Cooper;Comedy;67;590;102;935830;2017
Meet the Robinsons;Stephen Anderson;Angela Bassett, Daniel Hansen, Tom Selleck, Harland Williams;Comedy;68;610;95;975570;2007
Turbo;David Soren;Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson;Comedy;64;580;96;948840;2013
Storks;Nicholas Stoller;Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston;Comedy;68;560;87;614070;2016
Epic;Chris Wedge;Colin Farrell, Josh Hutcherson, Amanda Seyfried, Beyoncé Knowles;Adventure;66;520;102;1045870;2013
Robots;Carlos Saldanha;Ewan McGregor, Halle Berry, Robin Williams, Greg Kinnear;Comedy;64;640;91;1441200;2005
Madagascar: Escape 2 Africa;Eric Darnell;Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith;Comedy;66;610;89;2225810;2008
Dinosaur;Eric Leighton;D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella;Drama;64;560;82;595790;2000
Hotel Transylvania 3: Summer Vacation;Genndy Tartakovsky;Adam Sandler, Andy Samberg, Selena Gomez, Kevin James;Comedy;63;540;97;712640;2018
The Ant Bully;John A. Davis;Zach Tyler Eisen, Julia Roberts, Meryl Streep, Nicolas Cage;Comedy;58;590;88;392430;2006
Spirit: Stallion of the Cimarron;Kelly Asbury;Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet;Drama;71;520;83;743790;2002
The Salvation;Kristian Levring;Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Éric Cantona;Thriller;67;640;92;390160;2014
Blackthorn;Mateo Gil;Sam Shepard, Eduardo Noriega, Stephen Rea, Magaly Solier;Adventure;65;610;102;96440;2011
The Magnificent Seven;Antoine Fuqua;Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio;Adventure;68;540;132;2082510;2016
Dead Man;Jim Jarmusch;Johnny Depp, Gary Farmer, Lance Henriksen, Michael Wincott;Drama;75;620;121;958950;1995
Tears of the Black Tiger;Wisit Sasanatieng;Chartchai Ngamsan, Stella Malucchi, Supakorn Kitsuwon, Arawat Ruangvuth;;;;;;2000
The Horse Whisperer;Robert Redford;Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest;Drama;67;650;169;411070;1998
The Keeping Room;Daniel Barber;Brit Marling, Hailee Steinfeld, Muna Otaru, Sam Worthington;;;;;;2014
In a Valley of Violence;Ti West;Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone;;;;;;2016
Silverado;Lawrence Kasdan;Kevin Kline, Scott Glenn, Kevin Costner, Rosanna Arquette;Drama;72;640;133;440470;1985
The Ballad of Lefty Brown;Jared Moshé;Bill Pullman, Kathy Baker, Jim Caviezel, Tommy Flanagan;;;;;;2017
Duel in the Sun;King Vidor;Jennifer Jones, Gregory Peck, Joseph Cotten, Lionel Barrymore;;;;;;1946
Red Hill;Patrick Hughes;Ryan Kwanten, Steve Bisley, Tom E. Lewis, Claire van der Boom;;;;;;2010
Hostiles;Scott Cooper;Christian Bale, Rosamund Pike, Wes Studi, Jesse Plemons;Drama;72;650;134;827700;2017
Appaloosa;Ed Harris;Ed Harris, Viggo Mortensen, Renee Zellweger, Jeremy Irons;;;;;;2008
The Assassination of Jesse James by the Coward Robert Ford;Andrew Dominik;Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker;Drama;75;680;160;1788310;2007
Back to the Future Part III;Robert Zemeckis;Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson;Comedy;74;550;118;4357430;1990
Tombstone;George P. Cosmatos;Kurt Russell, Val Kilmer, Michael Biehn, Powers Boothe;Drama;78;500;130;1442150;1993
The Wind;Emma Tammi;Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Miles Anderson;Horror;55;660;88;81030;2018
Shanghai Noon;Tom Dey;Jackie Chan, Owen Wilson, Lucy Liu, Roger Yuan;Comedy;66;770;110;1261070;2000
Open Range;Kevin Costner;Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon;Drama;74;670;139;722800;2003
El topo;Alejandro Jodorowsky;Alejandro Jodorowsky, Mara Lorenzio, Jacqueline Luis, Brontis Jodorowsky;;;;;;1971
The Long Riders;Walter Hill;David Carradine, Keith Carradine, Robert Carradine, James Keach;;;;;;1980
True History of the Kelly Gang;Justin Kurzel;George MacKay, Russell Crowe, Nicholas Hoult, Essie Davis;Drama;60;750;124;110130;2019
Hud;Martin Ritt;Paul Newman, Melvyn Douglas, Patricia Neal, Brandon de Wilde;;;;;;1963
The Homesman;Tommy Lee Jones;Tommy Lee Jones, Hilary Swank, David Dencik, William Fichtner;Drama;66;680;122;329440;2014
Pat Garrett and Billy the Kid;Sam Peckinpah;James Coburn, Kris Kristofferson, Bob Dylan, Jason Robards;;;;;;1973
The Hateful Eight;Quentin Tarantino;Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins;Thriller;78;680;168;5785510;2015
How the West Was Won;John Ford;Carroll Baker, Lee J. Cobb, Henry Fonda, Carolyn Jones;;;;;;1962
Dances With Wolves;Kevin Costner;Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant;;;;;;1990
Meek's Cutoff;Kelly Reichardt;Michelle Williams, Bruce Greenwood, Will Patton, Zoe Kazan;Thriller;65;850;104;139530;2010
The Three Burials of Melquiades Estrada;Tommy Lee Jones;Tommy Lee Jones, Barry Pepper, Julio Cesar Cedillo, Dwight Yoakam;Adventure;73;770;121;404160;2005
The Proposition;John Hillcoat;Guy Pearce, Ray Winstone, Emily Watson, Danny Huston;Drama;73;730;104;524000;2005
Never Grow Old;Ivan Kavanagh;Emile Hirsch, John Cusack, Danny Webb, Antonia Campbell-Hughes;;;;;;2019
Westworld;Michael Crichton;Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold;Drama;86;;62;4750830;1973
The Shootist;Don Siegel;John Wayne, Lauren Bacall, James Stewart, Ron Howard;;;;;;1976
Near Dark;Kathryn Bigelow;Adrian Pasdar, Jenny Wright, Lance Henriksen, Bill Paxton;Horror;69;760;94;385980;1987
McCabe & Mrs. Miller;Robert Altman;Warren Beatty, Julie Christie, Rene Auberjonois, John Schuck;;;;;;1971
Mystery Road;Ivan Sen;Aaron Pedersen, Hugo Weaving, Jack Thompson, Ryan Kwanten;Thriller;74;;57;37980;2013
The Outlaw Josey Wales;Clint Eastwood;Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney;;;;;;1976
The Ox-Bow Incident;William Wellman;Henry Fonda, Dana Andrews, Henry Morgan, Mary Beth Hughes;;;;;;1943
Pale Rider;Clint Eastwood;Clint Eastwood, Michael Moriarty, Carrie Snodgress, Christopher Penn;Drama;73;610;115;586000;1985
True Grit;Henry Hathaway;John Wayne, Glen Campbell, Kim Darby, Jeremy Slate;Drama;76;800;110;3337060;1969
Cat Ballou;Elliot Silverstein;Jane Fonda, Lee Marvin, Michael Callan, Dwayne Hickman;Comedy;68;600;97;147610;1965
For a Few Dollars More;Sergio Leone;Clint Eastwood, Lee Van Cleef, Gian Maria Volonte, Josef Egger;;;;;;1965
The Sisters Brothers;Jacques Audiard;John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed;Drama;69;780;122;636390;2018
Lone Star;John Sayles;Chris Cooper, Elizabeth Peña, Joe Morton, Ron Canada;;;;;;1996
3:10 to Yuma;James Mangold;Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts;Thriller;76;;92;195870;2007
Slow West;John Maclean;Michael Fassbender, Kodi Smit-McPhee, Ben Mendelsohn, Caren Pistorius;Thriller;69;720;84;452490;2015
Bisbee '17;Robert Greene;;;;;;;2018
Jeremiah Johnson;Sydney Pollack;Robert Redford, Will Geer, Stefan Gierasch, Allyn Ann McLerie;Drama;75;750;108;314170;1972
Nighthawk;Kleber Mendonça Filho;Sonia Braga, Udo Kier, Barbara Colen, Julia Marie Peterson;;;;;;2019
The Man Who Shot Liberty Valance;John Ford;James Stewart, John Wayne, Vera Miles, Lee Marvin;Drama;81;940;123;749340;1962
Django Unchained;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson;;;;;;2012
She Wore a Yellow Ribbon;John Ford;John Wayne, Joanne Dru, John Agar, Ben Johnson;;;;;;1949
Johnny Guitar;Nicholas Ray;Joan Crawford, Sterling Hayden, Mercedes McCambridge, Scott Brady;;;;;;1954
High Plains Drifter;Clint Eastwood;Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan;Drama;75;690;105;546520;1973
Wind River;Taylor Sheridan;Jeremy Renner, Elizabeth Olsen, Gil Birmingham, Jon Bernthal;Drama;77;730;107;2432520;2017
Sweetgrass;Lucien Castaing-Taylor;;;;;;;2009
Destry Rides Again;George Marshall;James Stewart, Marlene Dietrich, Mischa Auer, Charles Winninger;;;;;;1939
Little Big Man;Arthur Penn;Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam;Comedy;76;630;139;350850;1970
Sweet Country;Warwick Thornton;Bryan Brown, Matt Day, Tremayne Doolan, Anni Finsterer;Adventure;69;880;113;84180;2017
The Misfits;John Huston;Clark Gable, Marilyn Monroe, Montgomery Clift, Thelma Ritter;Comedy;43;250;94;94440;1961
The Ballad of Buster Scruggs;Joel Coen;Tim Blake Nelson, Willie Watson, David Krumholtz, James Franco;Comedy;73;790;133;1422250;2018
Bad Day at Black Rock;John Sturges;Spencer Tracy, Robert Ryan, Anne Francis, Lee Marvin;Thriller;77;;81;215290;1955
Giant;George Stevens;Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker;Drama;76;840;201;382710;1956
Major Dundee;Sam Peckinpah;Charlton Heston, Richard Harris, Jim Hutton, James Coburn;Adventure;67;620;123;79710;1965
The Shooting;Monte Hellman;Millie Perkins, Jack Nicholson, Will Hutchins, Warren Oates;;;;;;1967
Shane;George Stevens;Alan Ladd, Jean Arthur, Van Heflin, Brandon de Wilde;;;;;;1953
Once Upon a Time in the West;Sergio Leone;Henry Fonda, Claudia Cardinale, Charles Bronson, Jason Robards;;;;;;1969
El Dorado;Howard Hawks;John Wayne, Robert Mitchum, James Caan, Arthur Hunnicutt;Drama;76;850;126;267680;1967
Old Yeller;Robert Stevenson;Dorothy McGuire, Fess Parker, Tommy Kirk, Kevin Corcoran;Adventure;73;840;83;134490;1957
Fort Apache;John Ford;John Wayne, Henry Fonda, Shirley Temple, Pedro Armendáriz;;;;;;1948
The Rider;Chloé Zhao;Brady Jandreau, Tim Jandreau, Lilly Jandreau, Lane Scott;;;;;;2017
A Fistful of Dollars;Sergio Leone;Clint Eastwood, Marianne Koch, Joe Edger, Wolfgang Lukschy;Drama;79;650;99;2133000;1964
No Country for Old Men;Joel Coen;Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson;Drama;82;920;122;9415370;2007
Winchester '73;Anthony Mann;James Stewart, Shelley Winters, Dan Duryea, Stephen McNally;;;;;;1950
Red River;Howard Hawks;John Wayne, Montgomery Clift, Walter Brennan, Joanne Dru;;;;;;1948
The Searchers;John Ford;John Wayne, Jeffrey Hunter, Natalie Wood, Vera Miles;Drama;79;940;119;879590;1956
My Darling Clementine;John Ford;Henry Fonda, Linda Darnell, Victor Mature, Walter Brennan;;;;;;1946
Unforgiven;Clint Eastwood;Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris;Drama;82;850;130;4040650;1992
Rio Bravo;Howard Hawks;John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson;;;;;;1959
Stagecoach;John Ford;John Wayne, Claire Trevor, Andy Devine, John Carradine;Drama;78;930;96;482180;1939
High Noon;Fred Zinnemann;Gary Cooper, Grace Kelly, Katy Jurado, Thomas Mitchell;Drama;80;890;85;1031390;1952
The Bridge on the River Kwai;David Lean;William Holden, Alec Guinness, Sessue Hayakawa, Jack Hawkins;Drama;82;870;161;2172060;1957
Paths of Glory;Stanley Kubrick;Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready;Drama;84;900;88;1933720;1957
Sunrise;F.W. Murnau;George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing;;;;;;1927
Fantasia;James Algar;Deems Taylor, Leopold Stokowski, Walt Disney, Julietta Novis;;;;;;1940
The Day the Earth Stood Still;Robert Wise;Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe;Drama;55;400;104;1696220;1951
One Hundred and One Dalmatians;Wolfgang Reitherman;Rod Taylor, Betty Lou Gerson, Cate Bauer, Lisa Daniels;Comedy;73;830;79;1648450;1961
The Best Years of Our Lives;William Wyler;Fredric March, Myrna Loy, Dana Andrews, Teresa Wright;Drama;81;930;170;631240;1946
Forbidden Planet;Fred McLeod Wilcox;Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens;Sci-Fi;75;800;98;485470;1956
Spartacus;Stanley Kubrick;Kirk Douglas, Laurence Olivier, Jean Simmons, Tony Curtis;Drama;85;;55;2372070;1960
The Umbrellas of Cherbourg;Jacques Demy;Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel;;;;;;1964
8,5;Federico Fellini;Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo;;;;;;1963
Pather Panchali;Satyajit Ray;Kanu Bannerjee, Karuna Bannerjee, Subir Bannerjee, Uma Das Gupta;Drama;83;;125;314820;1955
Che: Part Two;Steven Soderbergh;Benicio Del Toro, Demián Bichir, Santiago Cabrera, Elvira Mínguez;;;;;;2008
Black Hawk Down;Ridley Scott;Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana;Drama;77;740;144;3889740;2001
The Tin Drum;Volker Schlöndorff;David Bennent, Angela Winkler, Mario Adorf, Daniel Olbrychski;Drama;75;630;142;239420;1979
A Very Long Engagement;Jean-Pierre Jeunet;Audrey Tautou, Gaspard Ulliel, Jean-Pierre Becker, Dominique Bettenfeld;Drama;76;760;133;735270;2004
American Sniper;Clint Eastwood;Bradley Cooper, Sienna Miller, Jake McDorman, Luke Grimes;Drama;73;720;133;4746040;2014
War Horse;Steven Spielberg;Emily Watson, David Thewlis, Jeremy Irvine, Peter Mullan;Drama;72;720;146;1557570;2011
Coming Home;Hal Ashby;Jane Fonda, Jon Voight, Bruce Dern, Robert Ginty;;;;;;1978
The Thin Red Line;Terrence Malick;Sean Penn, Adrien Brody, Jim Caviezel, Ben Chaplin;Drama;76;780;170;1853890;1998
Lone Survivor;Peter Berg;Mark Wahlberg, Taylor Kitsch, Eric Bana, Emile Hirsch;Drama;75;600;121;2827330;2013
Private Benjamin;Howard Zieff;Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber;Comedy;62;590;109;260810;1980
Life Is Beautiful;Roberto Benigni;Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano;Comedy;86;590;116;6765390;1997
Fury;David Ayer;Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña;Drama;75;640;134;4727850;2014
The Curious Case of Benjamin Button;David Fincher;Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond;Drama;78;700;166;6351680;2008
Prometheus;Ridley Scott;Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba;Sci-Fi;70;640;124;5988710;2012
Steve Jobs: The Man in the Machine;Alex Gibney;Alex Gibney, Bob Belleville, Chrisann Brennan, Nolan Bushnell;;;;;;2015
Signs;M. Night Shyamalan;Mel Gibson, Joaquin Phoenix, Cherry Jones, Rory Culkin;Drama;68;590;106;3571290;2002
Crash;Paul Haggis;Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito;Drama;64;500;100;586350;2004
The Map of Tiny Perfect Things;Ian Samuels;Kathryn Newton, Kyle Allen, Jermaine Harris, Anna Mikami;Comedy;68;610;98;210550;2021
Halston;Frédéric Tcheng;Liza Minnelli, Marisa Berenson, Joel Schumacher, Naeem Khan;Drama;75;;240;143760;2019
The Hero;Brett Haley;Sam Elliott, Laura Prepon, Nick Offerman, Krysten Ritter;;;;;;2017
Uncle Frank;Alan Ball;Paul Bettany, Sophia Lillis, Peter Macdissi, Steve Zahn;Comedy;73;580;95;197190;2020
Brad's Status;Mike White;Ben Stiller, Michael Sheen, Jenna Fischer, Luke Wilson;;;;;;2017
Late Night;Nisha Ganatra;Emma Thompson, Mindy Kaling, John Lithgow, Hugh Dancy;Comedy;65;700;102;365320;2019
I'm Your Woman;Julia Hart;Rachel Brosnahan, Marsha Stephanie Blake, Arinzé Kene, Bill Heck;;;;;;2020
Road to Perdition;Sam Mendes;Tom Hanks, Paul Newman, Jude Law, Jennifer Jason Leigh;Drama;77;720;117;2635670;2002
Chi-Raq;Spike Lee;Nick Cannon, Wesley Snipes, Teyonah Parris, Jennifer Hudson;;;;;;2015
The Report;Scott Z. Burns;Adam Driver, Annette Bening, Jon Hamm, Ted Levine;Drama;72;660;119;417790;2019
Akilla's Escape;Charles Officer;Saul Williams, Thamela Mpumlwana, Donisha Rita Claire Prendergast, Vic Mensa;;;;;;2020
Blow Out;Brian De Palma;John Travolta, Nancy Allen, John Lithgow, Dennis Franz;Drama;74;860;108;514670;1981
Courage Under Fire;Edward Zwick;Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty;Drama;66;770;116;542750;1996
The Namesake;Mira Nair;Kal Penn, Tabu, Irrfan Khan, Zuleikha Robinson;;;;;;2006
The Courier;Dominic Cooke;Benedict Cumberbatch, Merab Ninidze, Vladimir Chuprikov, James Schofield;Thriller;71;650;112;551380;2020
Borat Subsequent Moviefilm;Jason Woliner;Sacha Baron Cohen, Maria Bakalova;Comedy;66;680;95;1367610;2020
The Joy Luck Club;Wayne Wang;Rosalind Chao, Tamlyn Tomita, France Nuyen, Vivian Wu;Drama;77;840;139;165900;1993
Selah and the Spades;Tayarisha Poe;Lovie Simone, Jharrel Jerome, Celeste O'Connor, Ana Mulvoy Ten;;;;;;2019
The Sixth Sense;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams;Drama;82;640;107;9690290;1999
Cedar Rapids;Miguel Arteta;Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.;Comedy;63;700;87;378500;2011
Garden State;Zach Braff;Zach Braff, Ian Holm, Ron Leibman, Method Man;Comedy;74;670;102;2151180;2004
Beasts of the Southern Wild;Benh Zeitlin;Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes;Adventure;72;860;93;830940;2012
(500) Days of Summer;Marc Webb;Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz;;;;;;2009
Platoon;Oliver Stone;Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker;Drama;81;920;120;4066640;1986
Who You Think I Am;Safy Nebbou;Juliette Binoche, François Civil, Guillaume Gouix, Charles Berling;;;;;;2019
Brittany Runs a Marathon;Paul Downs Colaizzo;Jillian Bell, Utkarsh Ambudkar, Michaela Watkins, Lil Rel Howery;Comedy;68;720;104;196400;2019
Words on Bathroom Walls;Thor Freudenthal;Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb;Drama;71;610;110;92450;2020
Compliance;Craig Zobel;Ann Dowd, Dreama Walker, Pat Healy, Bill Camp;Drama;64;680;90;342920;2012
Cast Away;Robert Zemeckis;Tom Hanks, Helen Hunt, Nick Searcy, Lari White;Drama;78;730;143;5759840;2000
Lincoln;Steven Spielberg;Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt;Drama;73;860;150;2580030;2012
You Were Never Really Here;Lynne Ramsay;Joaquin Phoenix, Ekaterina Samsonov, Alessandro Nivola, Alex Manette;Drama;68;840;89;1169720;2017
Itzhak;Alison Chernick;Itzhak Perlman;;;;;;2017
District 9;Neill Blomkamp;Sharlto Copley, Jason Cope, David James, Vanessa Haywood;Sci-Fi;79;810;112;6705530;2009
Journey's End;Saul Dibb;Paul Bettany, Sam Claflin, Asa Butterfield, Toby Jones;;;;;;2017
Human Flow;Ai Weiwei;Ai Weiwei, Peter Bouckaert, Orlando Avis, Israa Abboud;;;;;;2017
Zero Dark Thirty;Kathryn Bigelow;Jessica Chastain, Jason Clarke, Joel Edgerton, Jennifer Ehle;Drama;74;950;157;2939960;2012
Cold War;Pawel Pawlikowski;Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza;Drama;75;900;89;557900;2018
Inside Llewyn Davis;Joel Coen;Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund;Comedy;74;930;104;1517400;2013
My Name Is Pauli Murray;Betsy West;Patricia Bell-Scott, Dolores Chandler, Brittney Cooper;;;;;;2021
Paper Moon;Peter Bogdanovich;Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman;Comedy;81;770;102;468870;1973
Val;Ting Poo;Val Kilmer, Jack Kilmer;Horror;51;;81;5650;2021
Sylvie's Love;Eugene Ashe;Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King;;;;;;2020
Herself;Phyllida Lloyd;Clare Dunne, Harriet Walter, Conleth Hill, Cathy Belton;;;;;;2020
The Vast of Night;Andrew Patterson;Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis;Drama;67;840;91;378690;2019
Charade;Stanley Donen;Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn;Comedy;79;830;113;759500;1963
Invisible Life;Karim Aïnouz;Carol Duarte, Julia Stockler, Gregório Duvivier, Flávia Gusmão;;;;;;2019
It's a Wonderful Life;Frank Capra;James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell;Drama;86;890;130;4448410;1946
Fargo;Joel Coen;Frances McDormand, Steve Buscemi, William H. Macy, Peter Stormare;Drama;89;;53;3622350;1996
Honey Boy;Alma Har'el;Shia LaBeouf, Lucas Hedges, Noah Jupe, Byron Bowers;Drama;72;730;94;362000;2019
Gleason;Clay Tweel;Steve Gleason, Drew Brees, Mike McCready, Eddie Vedder;;;;;;2016
Tangerine;Sean Baker;Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan;Comedy;71;860;88;314790;2015
A Hero;Asghar Farhadi;Amir Jadidi, Mohsen Tanabandeh, Fereshteh Sadre Orafaiy, Sarina Farhadi;Drama;75;820;127;210130;2021
The Salesman;Asghar Farhadi;Shahab Hosseini, Taraneh Alidoosti, Babak Karimi, Farid Sajjadi Hosseini;;;;;;2016
Love & Friendship;Whit Stillman;Kate Beckinsale, Xavier Samuel, Morfydd Clark, Emma Greenwell;Comedy;64;870;90;247300;2016
